id,user_id,type,date,duration,length
1,10332,call,2024-01-01 00:00:00.000000000,0.09,
2,11458,text,2024-01-01 00:06:30.969774244,,39.0
3,11777,text,2024-01-01 00:13:01.939548488,,36.0
4,10682,call,2024-01-01 00:19:32.909322733,1.53,
5,12742,call,2024-01-01 00:26:03.879096977,4.84,
6,10473,call,2024-01-01 00:32:34.848871221,4.68,
7,12856,call,2024-01-01 00:39:05.818645466,3.27,
8,13742,call,2024-01-01 00:45:36.788419710,4.81,
9,11530,text,2024-01-01 00:52:07.758193954,,44.0
10,12850,text,2024-01-01 00:58:38.727968199,,70.0
11,10719,call,2024-01-01 01:05:09.697742443,1.73,
12,10824,text,2024-01-01 01:11:40.667516687,,31.0
13,11431,call,2024-01-01 01:18:11.637290932,2.8,
14,11844,call,2024-01-01 01:24:42.607065176,7.1,
15,12845,call,2024-01-01 01:31:13.576839420,1.97,
16,10378,text,2024-01-01 01:37:44.546613665,,85.0
17,10763,text,2024-01-01 01:44:15.516387909,,48.0
18,12037,call,2024-01-01 01:50:46.486162154,12.22,
19,12768,call,2024-01-01 01:57:17.455936398,1.51,
20,12252,call,2024-01-01 02:03:48.425710642,6.65,
21,10357,text,2024-01-01 02:10:19.395484887,,28.0
22,12296,call,2024-01-01 02:16:50.365259131,3.68,
23,12950,text,2024-01-01 02:23:21.335033375,,59.0
24,10904,text,2024-01-01 02:29:52.304807620,,50.0
25,11172,call,2024-01-01 02:36:23.274581864,1.15,
26,10669,text,2024-01-01 02:42:54.244356108,,52.0
27,13556,call,2024-01-01 02:49:25.214130353,1.61,
28,12660,text,2024-01-01 02:55:56.183904597,,65.0
29,10789,call,2024-01-01 03:02:27.153678841,3.87,
30,12990,text,2024-01-01 03:08:58.123453086,,47.0
31,13389,text,2024-01-01 03:15:29.093227330,,72.0
32,12558,text,2024-01-01 03:22:00.063001575,,37.0
33,10286,text,2024-01-01 03:28:31.032775819,,47.0
34,12435,text,2024-01-01 03:35:02.002550063,,66.0
35,10777,call,2024-01-01 03:41:32.972324308,0.19,
36,13869,call,2024-01-01 03:48:03.942098552,11.14,
37,10733,call,2024-01-01 03:54:34.911872796,3.65,
38,13048,text,2024-01-01 04:01:05.881647041,,53.0
39,10902,text,2024-01-01 04:07:36.851421285,,24.0
40,12190,text,2024-01-01 04:14:07.821195529,,72.0
41,13474,text,2024-01-01 04:20:38.790969774,,39.0
42,10585,text,2024-01-01 04:27:09.760744018,,64.0
43,13238,text,2024-01-01 04:33:40.730518262,,54.0
44,11882,text,2024-01-01 04:40:11.700292507,,104.0
45,11794,text,2024-01-01 04:46:42.670066751,,42.0
46,13682,call,2024-01-01 04:53:13.639840996,0.26,
47,12611,text,2024-01-01 04:59:44.609615240,,49.0
48,11403,text,2024-01-01 05:06:15.579389484,,45.0
49,13281,text,2024-01-01 05:12:46.549163729,,26.0
50,13927,text,2024-01-01 05:19:17.518937973,,24.0
51,10780,text,2024-01-01 05:25:48.488712217,,43.0
52,13115,call,2024-01-01 05:32:19.458486462,0.55,
53,10464,call,2024-01-01 05:38:50.428260706,3.81,
54,10761,call,2024-01-01 05:45:21.398034950,14.21,
55,11552,call,2024-01-01 05:51:52.367809195,10.38,
56,11354,call,2024-01-01 05:58:23.337583439,4.11,
57,10656,text,2024-01-01 06:04:54.307357683,,21.0
58,13379,call,2024-01-01 06:11:25.277131928,0.61,
59,11712,text,2024-01-01 06:17:56.246906172,,72.0
60,12898,call,2024-01-01 06:24:27.216680417,2.49,
61,12118,text,2024-01-01 06:30:58.186454661,,42.0
